codigo;descricao;vigencia_inicio;vigencia_fim
1819;COBRANÇA DE PROCEDIMENTO COM HISTÓRIA CLÍNICA/HIPÓTESE DIAGNÓSTICA NÃO COMPATÍVEL;2006-11-16;
1820;COBRANÇA DE PROCEDIMENTO EM QUANTIDADE ACIMA DA MÁXIMA PERMITIDA/AUTORIZADA;2006-11-16;2026-06-30
1821;COBRANÇA DE PROCEDIMENTO NÃO COMPATÍVEL COM A IDADE.;2006-11-16;2026-06-30
1824;PROCEDIMENTO COBRADO NÃO CORRESPONDE AO EXAME EXECUTADO;2006-11-16;2026-06-30
1825;COBRANÇA DE PROCEDIMENTO AMBULATORIAL COM DATA DE AUTORIZAÇÃO POSTERIOR À DO ATENDIMENTO.;2006-11-16;2026-06-30
1826;VIAS DE ACESSO DOS PROCEDIMENTOS COBRADOS NÃO ESTÃO PREVISTAS NA LISTAGEM DE PROCEDIMENTOS MÚLTIPLOS.;2012-10-10;2026-06-30
1828;ADICIONAL DE URGÊNCIA NÃO PREVISTO PARA PROCEDIMENTO CIRÚRGICO ELETIVO.;2012-10-10;2026-06-30
1830;COBRANÇA DE PROCEDIMENTO SEM INFORMAÇÃO DAS DATAS DE ATENDIMENTO-VISITA, PLANTÃO, INTENSIVISTA, AVALIAÇÃO ENTERAL/PARENTERAL;2012-10-10;2026-06-30
1831;LAUDO DO EXAME ENVIADO NÃO JUSTIFICA A COBRANÇA DO PROCEDIMENTO;2012-10-10;2026-06-30
1832;PROCEDIMENTO NÃO PERMITE COBRANÇA DE AUXILIAR DE ANESTESISTA;2012-10-10;
1833;PROCEDIMENTO COBRADO NÃO PERMITE ACRÉSCIMO DE ACOMODAÇÃO;2012-10-10;2026-06-30
1834;PORTE ANESTÉSICO COBRADO INCOMPATÍVEL COM O PORTE DO PROCEDIMENTO REALIZADO;2012-10-10;
1835;"""ANALGESIA POR DIA SUBSEQUENTE"" NÃO JUSTIFICADA EM RELATÓRIO MÉDICO, PARA O PROCEDIMENTO REALIZADO E/OU DATA DO ATENDIMENTO";2012-10-10;2026-06-30
1836;"""ANALGESIA POR DIA SUBSEQUENTE"" INCOMPATÍVEL COM A VIA DE ADMINISTRAÇÃO DO MEDICAMENTO - VO OU IV PERIFÉRICA - SENDO LIBERADA VISITA HOSPITALAR";2012-10-10;
1837;NÃO CABE PAGAMENTO DO HONORÁRIO INTEGRAL POR SER VIA DE ACESSO CIRÚRGICO DIFERENTE;2012-10-10;
1838;GRAU DE PARTICIPAÇÃO INFORMADO INCOMPATÍVEL COM EVENTO COBRADO.;2013-04-01;2026-06-30
1840;PROCEDIMENTO EXECUTADO ANTES DA AUTORIZAÇÃO;2013-04-01;2026-06-30
1901;ACOMODAÇÃO INVÁLIDA;2006-11-16;2026-06-30
1902;ACOMODAÇÃO INFORMADA NÃO ESTÁ DE ACORDO COM ACOMODAÇÃO CONTRATADA;2006-11-16;2026-06-30
1903;PERMANÊNCIA HOSPITALAR INCOMPATÍVEL COM A EVOLUÇÃO CLÍNICA;2006-11-16;
1904;PERMANÊNCIA HOSPITALAR INCOMPATÍVEL COM O PROCEDIMENTO AUTORIZADO;2006-11-16;
1905;QUANTIDADE DE DIÁRIAS DEVE SER MAIOR QUE ZERO;2006-11-16;2026-06-30
1906;ACOMODAÇÃO NÃO INFORMADA;2006-11-16;2026-06-30
1907;QUANTIDADE UTI NÃO PREVISTA PARA PROCEDIMENTO;2006-11-16;2026-06-30
1908;USUÁRIO NÃO POSSUI COBERTURA DE UTI;2006-11-16;2026-06-30
1912;EVOLUÇÃO CLÍNICA NÃO COMPATÍVEL COM A PERMANÊNCIA EM UTI.;2006-11-16;2026-06-30
1913;CÓDIGO DE DIÁRIA INCOMPATÍVEL COM O LOCAL DE ATENDIMENTO.;2006-11-16;2026-06-30
1914;COBRANÇA DE DIÁRIA EM QUANTIDADE INCOMPATÍVEL COM A PERMANÊNCIA HOSPITALAR.;2006-11-16;2026-06-30
1915;MUDANÇA DE ACOMODAÇÃO SEM COMUNICAÇÃO AO PACIENTE, FAMILIAR OU ACOMPANHANTE, OU SEM SOLICITAÇÃO DESTES.;2006-11-16;2026-06-30
1916;COBRANÇA DE DIÁRIAS DE UTI INCOMPATÍVEL COM DIAGNÓSTICO E EVOLUÇÃO CLÍNICA.;2007-05-11;2026-06-30
1918;PLANO DO BENEFICIÁRIO NÃO CONTEMPLA DIÁRIA DE ACOMPANHANTE;2013-04-01;
2001;MATERIAL INVÁLIDO;2006-11-16;2026-06-30
2002;MATERIAL SEM COBERTURA PARA ATENDIMENTO AMBULATORIAL;2006-11-16;2026-06-30
2003;MATERIAL NÃO ESPECIFICADO;2006-11-16;2026-06-30
2004;MATERIAL SEM NOTA FISCAL DO FORNECEDOR;2006-11-16;2026-06-30
2005;QUANTIDADE DE MATERIAL DEVE SER MAIOR QUE ZERO;2006-11-16;2026-06-30
2006;MATERIAL INFORMADO NÃO COBERTO;2006-11-16;2026-06-30
2007;COBRANÇA DE MATERIAL EM QUANTIDADE INCOMPATÍVEL COM A PERMANÊNCIA.;2006-11-16;2026-06-30
2008;COBRANÇA DE MATERIAL EM QUANTIDADES INCOMPATÍVEIS COM O PROCEDIMENTO REALIZADO.;2006-11-16;2026-06-30
2009;QUANTIDADE DE MATERIAL SUPERIOR A QUANTIDADE COBERTA;2006-11-16;2026-06-30
2010;COBRANÇA DE MATERIAIS INCLUSOS NAS TAXAS;2006-11-16;2026-06-30
2011;COBRANÇA DE MATERIAL INCLUSO NO PACOTE NEGOCIADO.;2006-11-16;2026-06-30
2012;COBRANÇA DE MATERIAL INCOMPATÍVEL COM O RELATÓRIO TÉCNICO.;2006-11-16;2026-06-30
2013;COBRANÇA DE MATERIAL EM PERMANÊNCIA HOSPITALAR NÃO AUTORIZADA.;2006-11-16;2026-06-30
2014;COBRANÇA DE MATERIAL NÃO UTILIZADO;2006-11-16;2026-06-30
2015;MATERIAL NÃO AUTORIZADO;2013-04-01;2026-06-30
2101;MEDICAMENTO INVÁLIDO;2006-11-16;2026-06-30
2102;MEDICAMENTO SEM COBERTURA PARA ATENDIMENTO AMBULATORIAL;2006-11-16;2026-06-30
2103;MEDICAMENTO NÃO ESPECIFICADO;2006-11-16;2026-06-30
2104;MEDICAMENTO SEM NOTA FISCAL DO FORNECEDOR;2006-11-16;2026-06-30
