codigo;descricao;vigencia_inicio;vigencia_fim
3277;PRESTADOR FORA DA ABRANGÊNCIA GEOGRÁFICA DO PLANO DO BENEFICIÁRIO;2025-12-01;
3278;PRESTADOR NÃO ESTAVA ATIVO NA DATA DE ATENDIMENTO/SOLICITAÇÃO;2025-12-01;
3279;PRESTADOR NÃO HABILITADO/CONTRATADO PARA REALIZAR O PROCEDIMENTO;2025-12-01;
3280;PROCEDIMENTO/ITEM ASSISTENCIAL INCOMPATÍVEL COM O LOCAL DE ATENDIMENTO;2025-12-01;
3281;PROCEDIMENTO COBRADO NÃO CORRESPONDE À PERÍCIA;2025-12-01;
3282;PROCEDIMENTO COBRADO NÃO CORRESPONDE AO EXECUTADO;2025-12-01;
3283;PROCEDIMENTO NÃO AUTORIZADO POR NÃO CONSTAR NO ROL DE PROCEDIMENTOS E EVENTOS EM SAÚDE DA ANS;2025-12-01;
3284;PROCEDIMENTO NÃO AUTORIZADO, POIS O DENTE ESTÁ AUSENTE;2025-12-01;
3285;PROCEDIMENTO NECESSITA DISCRIMINAÇÃO DE EQUIPE PROFISSIONAL NA GUIA;2025-12-01;
3286;PROCEDIMENTO SOLICITADO COM INCOERÊNCIA TÉCNICA EM RELAÇÃO A UM SERVIÇO JÁ AUTORIZADO PARA O MESMO PRESTADOR;2025-12-01;
3287;PROCEDIMENTO/ITEM ASSISTENCIAL NÃO POSSUI COBERTURA PELO PLANO DO BENEFICIÁRIO;2025-12-01;
3288;PROCEDIMENTO NÃO ATENDE A DIRETRIZ DE UTILIZAÇÃO (DUT) DO ROL DE PROCEDIMENTOS E EVENTOS EM SAÚDE DA ANS;2025-12-01;
3289;PROCEDIMENTO/ITEM ASSISTENCIAL SOLICITADO JÁ AUTORIZADO;2025-12-01;
3290;PROCEDIMENTOS DEVEM SER SOLICITADOS EM RECEITUÁRIO/GUIA EMITIDO PELO PRÓPRIO PRESTADOR SOLICITANTE;2025-12-01;
3291;PROTOCOLO NÃO LOCALIZADO;2025-12-01;
3292;QUANTIDADE SOLICITADA DE PROCEDIMENTO/ITEM ASSISTENCIAL ACIMA DA AUTORIZADA;2025-12-01;
3293;QUANTIDADE SOLICITADA DE PROCEDIMENTO/ITEM ASSISTENCIAL ACIMA DA COBERTA;2025-12-01;
3294;RADIOGRAFIA INDICA FALHA NA INSTALAÇÃO DO IMPLANTE;2025-12-01;
3295;RADIOGRAFIA INDICA FALHA NA OSSEOINTEGRAÇÃO DO IMPLANTE;2025-12-01;
3296;RADIOGRAFIA INDICA PRESENÇA DE INSTRUMENTO FRATURADO NO CONDUTO;2025-12-01;
3297;RADIOGRAFIA INDICA PRÓTESE INSTALADA EM DENTE COM ENDODONTIA INSATISFATÓRIA;2025-12-01;
3298;RADIOGRAFIA INDICA PRÓTESE INSTALADA EM DENTE COM NÚCLEO/PINO INSATISFATÓRIO;2025-12-01;
3299;RADIOGRAFIA INDICA PRÓTESE INSTALADA EM IMPLANTE INSATISFATÓRIO;2025-12-01;
3300;RADIOGRAFIA SUGERE INSTRUMENTO NO INTERIOR DO CONDUTO, COM POSSIBILIDADE DE DESFECHO FAVORÁVEL COM RETRATAMENTO;2025-12-01;
3301;RADIOGRAFIA SUGERE PERFURAÇÃO, COM POSSIBILIDADE DE DESFECHO FAVORÁVEL COM RETRATAMENTO;2025-12-01;
3302;RADIOGRAFIA SUGERE REMANESCENTE RADICULAR CURTO;2025-12-01;
3303;REALIZAÇÃO DE PROCEDIMENTO COM FINALIDADE ESTÉTICA;2025-12-01;
3304;REAVALIAR O PLANO DE TRATAMENTO OBSERVANDO CRITÉRIOS DE INDICAÇÃO, OPORTUNIDADE E/OU VIABILIDADE;2025-12-01;
3305;RECIBO FORA DO PADRÃO DETERMINADO PELA RECEITA FEDERAL;2025-12-01;
3306;SENHA OU GUIA DE AUTORIZAÇÃO INFORMADA INVÁLIDA;2025-12-01;
3307;SOLICITAÇÃO DE PROCEDIMENTO SEM INFORMAÇÃO DO LOCAL (REGIÃO/DENTE);2025-12-01;
3308;SOLICITAÇÃO/ATENDIMENTO ANTERIOR À INCLUSÃO DO BENEFICIÁRIO NO PLANO;2025-12-01;
3309;URGÊNCIA/EMERGÊNCIA NÃO APLICÁVEL;2025-12-01;
3310;VALOR DA NOTA FISCAL DIVERGENTE;2025-12-01;
3311;VALOR DO PROCEDIMENTO/ITEM ASSISTENCIAL INFORMADO INVÁLIDO;2025-12-01;
3312;VALOR LIBERADO CONFORME FRACIONAMENTO;2025-12-01;
